,log_rmse_mean,log_rmse_std,log_mae_mean,log_mae_std,log_mse_mean,log_mse_std,log_r2_mean,log_r2_std,log_adj_r2_mean,log_adj_r2_std,dollar_rmse_mean,dollar_rmse_std,dollar_mae_mean,dollar_mae_std,dollar_mse_mean,dollar_mse_std,dollar_r2_mean,dollar_r2_std,dollar_mape_mean,dollar_mape_std,fit_time_s,pred_latency_ms_per_row
Ridge__ohe,0.11401775985887612,0.015470669509541235,0.07967475652652531,0.005379315685436212,0.013191522855295105,0.0034810829119123594,0.9155950534155919,0.021414704080128497,,,20762.952680523005,3022.4515128202547,13905.24275191771,1272.023448512647,438408374.5315169,130318537.58573218,0.9292488391115743,0.018174957242613303,0.08166114519628125,0.0076364839499327005,0.13994860000093468,0.29226844796030127
Ridge__ordinal,0.11478115084045246,0.014053268766323049,0.08083184044968468,0.004389971254123788,0.01333270807867351,0.003184866594687767,0.9147879779223824,0.018395653414163042,,,21000.244181333226,3213.350786287258,14078.706897441667,1153.0514516350868,449270754.2962065,138144212.15953428,0.9281482753871423,0.016661173228403374,0.08279242965707301,0.0065993913535420425,0.15566709999984596,0.32494368256944267
Ridge__target,0.11641641971188432,0.01382712880633165,0.0825880879486528,0.004641178699677996,0.01370573437135512,0.003176607163753325,0.9123450891081296,0.018667441899348585,,,21188.331014171723,2926.3197830597387,14359.469415155076,1051.9033922590258,455796049.14429265,127517837.82330096,0.9266727596170359,0.016370209952183874,0.08451318062317599,0.006960078575885886,0.20706483999965714,0.4865450221865408
CatBoost__target,0.11672202691612288,0.011016143446311757,0.08016235577101052,0.0039017291681145492,0.013721115900551884,0.0025387124911074154,0.9119266474565251,0.01671098100888732,,,24041.53539417596,6723.088135046725,14402.525045392546,1460.2286473741283,614155355.3667004,365561178.1494336,0.9065546236106161,0.03436428819895884,0.08166650980803983,0.0057762822865913485,9.960497180002857,1.4842287560946628
CatBoost__native,0.12121738219207427,0.011390204265071069,0.08312732664592973,0.003666735234832485,0.014797443148059438,0.0027393966259174588,0.9049745157638107,0.018287532917304793,,,25109.093052042706,6243.897535126626,14954.140270474725,1199.9930333669213,661655559.0394676,342753862.7626255,0.8983397833871253,0.031027573065084576,0.08523304460967787,0.006680884333713264,55.732278399998904,0.377387817386626
LightGBM__ohe,0.12894253849774587,0.011578027904664763,0.08939038327953927,0.0057481061030020325,0.016733418818371627,0.0030052255053253578,0.8929231300939353,0.01589220987559602,,,26485.003075152625,5524.263262274063,16124.535503656356,947.688797013446,725869375.5635726,312826079.30989987,0.8873430394220472,0.02522279833970173,0.09155447463266035,0.008514303532058957,1.9786794000014196,0.46586049485773057
LightGBM__target,0.1292353187331599,0.01399728115216462,0.09068396086535092,0.0072968301067515276,0.016858506711783634,0.003536456609750881,0.8921854369796398,0.02037680262267104,,,26947.761063310434,5854.9024345682465,16493.634570713857,1446.2511597937578,753605732.3399203,345578622.7222238,0.8834778929528694,0.027596299956244543,0.09288488704975781,0.010001365437303534,6.684349959998508,0.8726305021748868
LightGBM__ordinal,0.1295385631709139,0.012561811424176166,0.089640405532996,0.005692571577901118,0.0169064786333901,0.0032435855500140085,0.8918330371722133,0.01789822930164208,,,26695.79937246592,5462.265354068176,16183.795615089664,1146.6014490194507,736534778.3735546,313826991.3989359,0.8856580982004191,0.0242395543225967,0.09201740036682073,0.008557725463250255,2.8590471999981673,0.6438897641330079
