,log_rmse_mean,log_rmse_std,log_mae_mean,log_mae_std,log_mse_mean,log_mse_std,log_r2_mean,log_r2_std,log_adj_r2_mean,log_adj_r2_std,dollar_rmse_mean,dollar_rmse_std,dollar_mae_mean,dollar_mae_std,dollar_mse_mean,dollar_mse_std,dollar_r2_mean,dollar_r2_std,dollar_mape_mean,dollar_mape_std,fit_time_s,pred_latency_ms_per_row
Ridge__full,0.11401775985887612,0.015470669509541235,0.07967475652652531,0.005379315685436212,0.013191522855295105,0.0034810829119123594,0.9155950534155919,0.021414704080128497,,,20762.952680523005,3022.4515128202547,13905.24275191771,1272.023448512647,438408374.5315169,130318537.58573218,0.9292488391115743,0.018174957242613303,0.08166114519628125,0.0076364839499327005,0.11439892000053078,0.2330331675212855
Ridge__selected,0.11822464240748198,0.016216078329197088,0.08445260797912889,0.007260493100299459,0.014187435029479913,0.003792998881691936,0.9089548350009113,0.02512045394281813,,,21662.231711336193,3382.8571466167773,14807.30923526833,1416.899803399905,478407260.6951524,154369707.00858623,0.9217951349839716,0.025059260542830603,0.08655171422911956,0.00963470240745162,0.1190102799970191,0.2616612530656695
LightGBM__full,0.12894253849774587,0.011578027904664763,0.08939038327953927,0.0057481061030020325,0.016733418818371627,0.0030052255053253578,0.8929231300939353,0.01589220987559602,,,26485.003075152625,5524.263262274063,16124.535503656356,947.688797013446,725869375.5635726,312826079.30989987,0.8873430394220472,0.02522279833970173,0.09155447463266035,0.008514303532058957,2.091792060001171,0.4916938776978675
LightGBM__selected,0.13131170482462368,0.011567331772284622,0.09133972824774486,0.0055262625740086875,0.017349806355413187,0.0030418980632593963,0.8888256631679756,0.01761458500215425,,,26910.58979674118,5388.1140300758425,16491.639537974617,909.4699360448479,747405261.4493506,310423528.3832755,0.8836016096464624,0.024522643226108906,0.09357340278336508,0.00846396374563727,4.660425899995607,0.8636040864280613
